"Date","Price","Open","High","Low","Vol.","Change %"
"25/11/2024","185.08","188.09","188.25","183.71","14.38M","-2.63%"
"22/11/2024","190.08","192.95","193.00","189.43","8.84M","-0.61%"
"21/11/2024","191.24","189.41","192.30","186.74","18.14M","1.53%"
"20/11/2024","188.36","188.85","188.85","184.06","10.62M","-0.69%"
"19/11/2024","189.67","189.13","190.02","188.02","9.39M","1.17%"
"18/11/2024","187.48","184.35","188.00","183.49","10.69M","0.79%"
"15/11/2024","186.01","188.18","188.80","184.81","9.83M","-1.32%"
"14/11/2024","188.50","188.40","192.66","187.54","11.45M","0.99%"
"13/11/2024","186.66","192.44","192.48","186.50","13.88M","-2.66%"
"12/11/2024","191.77","193.83","194.00","189.72","11.82M","-1.17%"
"11/11/2024","194.05","197.96","198.20","191.49","16.61M","-3.55%"
"08/11/2024","201.20","203.89","206.61","200.02","13.11M","0.00%"
"07/11/2024","201.19","196.31","202.01","196.25","14.87M","4.12%"
"06/11/2024","193.22","192.04","194.26","188.50","19.83M","-1.30%"
"05/11/2024","195.76","193.58","198.34","193.49","10.34M","2.19%"
"04/11/2024","191.56","193.70","194.36","190.60","10.92M","-0.72%"
"01/11/2024","192.95","194.20","198.17","192.55","12.69M","1.26%"
"31/10/2024","190.54","192.86","192.86","187.66","13.06M","-2.03%"
"30/10/2024","194.48","194.38","195.45","192.61","10.01M","-1.25%"
"29/10/2024","196.94","194.39","198.79","193.60","13.78M","1.16%"
"28/10/2024","194.68","199.26","199.74","194.52","20.14M","-4.31%"
"25/10/2024","203.44","200.25","205.20","200.00","13.43M","2.78%"
"24/10/2024","197.93","198.96","200.50","197.41","9.94M","-1.46%"
"23/10/2024","200.86","196.68","203.13","196.23","16.54M","1.20%"
"22/10/2024","198.48","199.07","200.17","197.11","11.17M","-1.72%"
"21/10/2024","201.95","200.81","203.44","199.66","14.82M","0.58%"
"18/10/2024","200.78","205.95","205.95","200.76","21.03M","-2.46%"
"17/10/2024","205.84","203.35","212.60","201.97","62.27M","9.79%"
"16/10/2024","187.48","189.78","190.01","186.66","18.69M","0.19%"
"15/10/2024","187.13","192.96","193.62","184.25","21.81M","-2.64%"
"14/10/2024","192.21","190.61","194.25","190.50","11.71M","0.73%"
"11/10/2024","190.81","188.17","191.49","188.01","12.16M","2.71%"
"10/10/2024","185.78","185.86","187.08","184.40","6.44M","-0.73%"
"09/10/2024","187.14","187.80","188.00","182.26","11.93M","0.59%"
"08/10/2024","186.05","184.96","186.54","182.03","10.39M","0.83%"
"07/10/2024","184.51","181.60","185.00","180.93","12.05M","1.85%"
"04/10/2024","181.16","179.70","181.23","177.55","10.00M","0.94%"
"03/10/2024","179.48","175.80","180.79","175.12","12.56M","2.09%"
"02/10/2024","175.80","172.96","176.97","170.79","11.16M","2.17%"
"01/10/2024","172.07","175.31","175.99","170.78","11.85M","-0.92%"
"30/09/2024","173.67","174.27","176.82","171.93","13.56M","-2.42%"
"27/09/2024","177.97","185.84","185.94","177.40","17.91M","-4.74%"
"26/09/2024","186.83","188.49","189.33","183.80","15.10M","2.46%"
"25/09/2024","182.35","181.52","183.82","181.21","8.28M","0.21%"
"24/09/2024","181.97","179.50","182.78","177.05","14.58M","4.13%"
"23/09/2024","174.76","174.84","175.40","173.70","5.79M","0.39%"
"20/09/2024","174.08","174.87","176.02","173.65","18.43M","-1.21%"
"19/09/2024","176.22","174.38","177.78","172.63","15.86M","5.34%"
"18/09/2024","167.28","168.46","171.60","167.00","9.12M","-0.04%"
"17/09/2024","167.35","169.35","170.24","166.35","8.58M","-1.02%"
"16/09/2024","169.08","169.91","170.56","166.77","12.19M","-1.98%"
"13/09/2024","172.50","172.24","174.76","171.45","8.79M","0.62%"
"12/09/2024","171.43","170.60","172.15","169.00","13.42M","0.70%"
"11/09/2024","170.23","163.80","170.38","161.42","15.06M","4.80%"
"10/09/2024","162.43","162.89","162.89","157.69","11.91M","-0.22%"
"09/09/2024","162.78","160.76","163.10","160.25","10.34M","3.80%"
"06/09/2024","156.82","164.89","165.41","156.01","14.96M","-4.20%"
"05/09/2024","163.70","161.54","164.59","161.05","10.26M","1.76%"
"04/09/2024","160.87","159.30","163.88","158.95","11.32M","0.24%"
"03/09/2024","160.49","168.00","168.68","159.80","18.46M","-6.53%"
"30/08/2024","171.70","170.05","172.23","168.75","9.48M","1.51%"
"29/08/2024","169.15","168.65","175.42","167.51","13.21M","-0.03%"
"28/08/2024","169.20","171.32","172.46","166.20","10.58M","-0.79%"
"27/08/2024","170.55","166.42","170.58","165.04","9.19M","0.88%"
"26/08/2024","169.07","170.38","171.05","167.82","9.61M","-1.29%"
"23/08/2024","171.28","169.00","173.29","167.91","12.19M","2.91%"
"22/08/2024","166.44","172.00","173.28","166.06","13.55M","-2.92%"
"21/08/2024","171.44","170.36","173.08","169.91","9.43M","-0.35%"
"20/08/2024","172.04","175.40","175.40","169.85","13.56M","-1.94%"
"19/08/2024","175.45","174.76","175.45","171.10","11.51M","0.52%"
"16/08/2024","174.54","173.39","175.00","172.25","10.71M","0.33%"
"15/08/2024","173.96","172.43","175.44","170.82","15.39M","2.35%"
"14/08/2024","169.97","171.88","172.51","167.19","11.51M","-1.38%"
"13/08/2024","172.34","168.00","172.45","166.34","15.24M","2.81%"
"12/08/2024","167.63","166.00","169.53","165.54","14.73M","0.31%"
"09/08/2024","167.12","166.32","167.80","163.24","20.52M","1.56%"
"08/08/2024","164.55","159.27","164.75","155.54","18.89M","6.13%"
"07/08/2024","155.04","161.55","162.65","154.52","22.38M","-0.23%"
"06/08/2024","155.39","150.44","157.71","147.72","24.53M","5.03%"
"05/08/2024","147.95","133.86","150.00","133.57","31.19M","-1.27%"
"02/08/2024","149.86","151.25","153.86","146.89","31.10M","-5.26%"
"01/08/2024","158.18","163.48","167.66","156.84","21.10M","-4.60%"
"31/07/2024","165.80","163.77","166.65","162.07","19.86M","7.29%"
"30/07/2024","154.54","160.44","161.15","152.55","22.02M","-3.42%"
"29/07/2024","160.01","162.68","163.23","158.63","12.66M","-1.19%"
