"Date","Price","Open","High","Low","Vol.","Change %"
"18/12/2024","230.37","239.00","239.07","229.53","11.32M","-3.35%"
"17/12/2024","238.36","238.65","239.02","236.63","8.08M","-0.51%"
"16/12/2024","239.58","240.61","240.67","237.52","9.03M","-0.15%"
"13/12/2024","239.94","242.07","242.71","239.14","10.39M","-0.66%"
"12/12/2024","241.53","243.00","244.10","241.04","6.11M","-0.82%"
"11/12/2024","243.53","244.00","244.27","242.18","7.88M","0.28%"
"10/12/2024","242.86","243.89","247.96","242.22","9.11M","-0.39%"
"09/12/2024","243.81","247.13","247.87","243.76","7.08M","-1.44%"
"06/12/2024","247.36","245.70","247.74","244.84","5.52M","0.77%"
"05/12/2024","245.48","245.39","247.18","244.62","6.57M","0.85%"
"04/12/2024","243.40","244.70","245.35","242.23","7.35M","-0.58%"
"03/12/2024","244.82","248.23","249.04","244.63","6.66M","-0.58%"
"02/12/2024","246.25","249.55","250.25","245.03","8.90M","-1.39%"
"29/11/2024","249.72","249.86","251.77","249.45","5.49M","-0.03%"
"27/11/2024","249.79","249.35","251.19","248.77","5.47M","-0.07%"
"26/11/2024","249.97","250.49","251.00","248.34","6.21M","-0.13%"
"25/11/2024","250.29","249.59","254.31","249.06","10.30M","0.70%"
"22/11/2024","248.55","243.61","249.15","243.03","8.00M","1.55%"
"21/11/2024","244.76","243.23","245.49","242.10","8.78M","1.65%"
"20/11/2024","240.78","244.40","244.61","238.64","9.02M","-0.95%"
"19/11/2024","243.09","242.25","245.15","241.55","6.79M","-0.79%"
"18/11/2024","245.03","247.76","247.93","242.68","9.05M","-0.11%"
"15/11/2024","245.31","241.46","246.42","241.46","11.52M","1.42%"
"14/11/2024","241.87","242.41","244.29","241.05","10.17M","0.29%"
"13/11/2024","241.16","240.58","244.09","240.31","11.47M","0.67%"
"12/11/2024","239.56","240.55","241.46","238.76","6.86M","0.11%"
"11/11/2024","239.29","240.00","242.10","239.00","9.02M","0.97%"
"08/11/2024","236.98","239.34","239.34","235.78","9.50M","0.25%"
"07/11/2024","236.38","244.50","244.57","235.22","16.45M","-4.32%"
"06/11/2024","247.06","235.00","248.00","234.77","23.99M","11.54%"
"05/11/2024","221.49","220.03","221.96","220.00","5.60M","0.78%"
"04/11/2024","219.78","222.65","223.76","219.17","8.23M","-1.42%"
"01/11/2024","222.94","223.56","226.15","222.70","6.92M","0.46%"
"31/10/2024","221.92","224.70","225.69","221.82","7.83M","-1.11%"
"30/10/2024","224.41","222.54","226.31","221.58","7.11M","0.68%"
"29/10/2024","222.90","225.21","226.75","222.81","6.58M","-1.15%"
"28/10/2024","225.50","223.35","225.64","222.95","6.84M","1.43%"
"25/10/2024","222.31","225.00","225.62","220.88","6.37M","-1.19%"
"24/10/2024","224.98","221.83","225.06","221.66","6.00M","0.70%"
"23/10/2024","223.41","223.66","224.80","222.53","6.18M","-0.32%"
"22/10/2024","224.12","223.02","225.28","221.10","9.59M","0.50%"
"21/10/2024","223.00","225.22","225.70","222.90","5.87M","-1.05%"
"18/10/2024","225.37","225.00","225.92","223.10","7.00M","0.42%"
"17/10/2024","224.42","224.27","225.85","223.31","6.47M","0.35%"
"16/10/2024","223.64","222.33","223.68","221.04","6.38M","0.56%"
"15/10/2024","222.39","223.66","225.45","221.82","9.24M","0.41%"
"14/10/2024","221.48","223.20","223.70","218.88","9.05M","-0.36%"
"11/10/2024","222.29","215.67","224.63","215.16","18.32M","4.44%"
"10/10/2024","212.84","214.81","214.81","211.47","7.93M","-0.27%"
"09/10/2024","213.42","209.70","214.24","209.38","7.02M","1.27%"
"08/10/2024","210.75","210.58","211.33","208.38","6.02M","-0.09%"
"07/10/2024","210.93","211.03","213.33","209.69","6.72M","-0.14%"
"04/10/2024","211.22","209.30","211.67","206.91","10.21M","2.92%"
"03/10/2024","205.23","206.17","206.49","204.34","7.25M","-0.99%"
"02/10/2024","207.29","207.08","208.95","205.69","5.81M","0.12%"
"01/10/2024","207.04","208.90","209.09","206.19","8.54M","-1.81%"
"30/09/2024","210.86","206.31","210.96","205.26","8.67M","0.17%"
"27/09/2024","210.50","210.65","212.44","209.33","7.03M","0.34%"
"26/09/2024","209.78","211.13","211.70","209.01","7.81M","-0.20%"
"25/09/2024","210.19","211.68","212.24","208.61","8.98M","-0.66%"
"24/09/2024","211.59","211.15","212.95","210.37","7.32M","0.07%"
"23/09/2024","211.44","211.00","211.80","209.99","7.22M","0.17%"
"20/09/2024","211.09","209.93","211.41","209.50","20.88M","0.29%"
"19/09/2024","210.48","209.78","211.91","207.34","11.64M","1.42%"
"18/09/2024","207.53","209.01","211.34","206.70","8.26M","-0.82%"
"17/09/2024","209.25","207.73","209.93","207.66","7.57M","0.67%"
"16/09/2024","207.86","205.83","208.21","205.59","8.63M","1.73%"
"13/09/2024","204.32","206.86","207.85","203.02","10.23M","-1.10%"
"12/09/2024","206.60","207.65","208.78","204.89","9.06M","-0.30%"
"11/09/2024","207.23","205.25","207.70","201.83","13.66M","0.81%"
"10/09/2024","205.56","218.60","218.64","200.61","28.41M","-5.19%"
"09/09/2024","216.81","215.19","218.15","214.18","8.94M","2.05%"
"06/09/2024","212.46","217.60","218.74","211.09","7.78M","-2.38%"
"05/09/2024","217.63","220.15","220.80","216.03","8.07M","-0.78%"
"04/09/2024","219.33","221.04","222.07","217.21","7.39M","-0.44%"
"03/09/2024","220.30","222.30","224.10","219.24","8.96M","-2.00%"
"30/08/2024","224.80","222.50","225.48","221.93","8.57M","1.17%"
"29/08/2024","222.21","222.15","222.98","218.94","6.42M","0.42%"
"28/08/2024","221.29","219.25","222.21","219.19","6.51M","0.50%"
"27/08/2024","220.18","219.51","220.42","219.19","5.19M","0.46%"
"26/08/2024","219.17","219.01","219.68","218.05","5.11M","0.39%"
"23/08/2024","218.31","217.60","219.19","216.50","7.21M","0.78%"
"22/08/2024","216.63","214.58","216.80","214.34","5.25M","0.95%"
"21/08/2024","214.60","214.43","215.00","212.84","5.20M","0.04%"
"20/08/2024","214.52","215.00","216.00","213.68","5.64M","-0.43%"
"19/08/2024","215.45","214.00","215.53","213.82","6.09M","0.69%"
"16/08/2024","213.97","211.69","214.09","211.59","7.93M","1.14%"
"15/08/2024","211.55","213.00","213.89","211.10","7.00M","0.62%"
"14/08/2024","210.24","207.74","210.76","207.12","7.00M","1.11%"
"13/08/2024","207.94","207.73","208.09","205.40","6.39M","0.85%"
"12/08/2024","206.19","206.41","207.14","203.66","6.94M","0.19%"
"09/08/2024","205.80","203.47","206.47","202.90","5.54M","0.85%"
"08/08/2024","204.06","202.47","204.91","201.79","7.76M","1.83%"
"07/08/2024","200.40","203.51","205.75","200.20","9.20M","0.03%"
"06/08/2024","200.34","195.40","202.60","194.00","10.61M","2.79%"
"05/08/2024","194.90","194.05","196.17","190.90","13.93M","-2.13%"
"02/08/2024","199.14","203.88","204.67","196.89","18.04M","-4.24%"
"01/08/2024","207.96","213.20","213.83","206.38","10.92M","-2.27%"
"31/07/2024","212.80","214.78","216.39","212.67","9.07M","-1.11%"
"30/07/2024","215.19","213.23","215.79","212.96","8.85M","2.06%"
"29/07/2024","210.85","212.65","213.61","210.54","6.53M","-0.65%"
"26/07/2024","212.24","209.24","213.16","208.62","8.03M","1.71%"
"25/07/2024","208.67","208.65","210.19","208.05","6.40M","0.04%"
"24/07/2024","208.59","209.55","212.03","208.07","7.12M","-0.83%"
"23/07/2024","210.33","211.02","211.48","209.35","5.56M","0.02%"
"22/07/2024","210.28","210.46","212.17","209.71","7.66M","0.24%"
"19/07/2024","209.78","211.20","212.35","208.92","8.10M","-0.10%"
"18/07/2024","209.98","215.63","216.63","209.24","12.42M","-3.18%"
"17/07/2024","216.87","213.80","217.56","213.27","11.57M","1.52%"
"16/07/2024","213.62","210.00","213.74","208.08","11.56M","1.70%"
"15/07/2024","210.05","207.19","211.61","206.72","10.72M","2.49%"
"12/07/2024","204.94","204.00","207.45","202.10","15.44M","-1.21%"
"11/07/2024","207.45","206.21","208.10","205.38","10.67M","-0.17%"
"10/07/2024","207.80","206.14","207.97","205.58","8.33M","0.08%"
"09/07/2024","207.63","205.63","209.76","205.45","9.06M","1.20%"
"08/07/2024","205.17","205.04","206.90","203.97","8.71M","0.19%"
"05/07/2024","204.79","206.99","207.37","204.52","8.09M","-1.87%"
"03/07/2024","208.69","209.55","210.38","207.65","5.56M","-0.07%"
"02/07/2024","208.83","205.29","208.86","204.77","7.80M","1.65%"
"01/07/2024","205.45","202.84","207.09","202.66","10.21M","1.58%"
"28/06/2024","202.26","200.01","202.60","199.30","15.31M","1.55%"
"27/06/2024","199.17","197.44","199.86","196.90","7.91M","0.88%"
"26/06/2024","197.43","197.45","197.94","196.27","7.76M","-0.32%"
"25/06/2024","198.07","198.09","200.07","197.74","6.92M","-0.41%"
"24/06/2024","198.88","197.81","199.23","197.10","9.79M","1.31%"
"21/06/2024","196.30","196.71","197.17","194.22","20.97M","-1.19%"
"20/06/2024","198.67","196.39","199.45","196.11","8.73M","0.85%"
"18/06/2024","197.00","194.60","197.96","194.13","9.02M","1.04%"
"17/06/2024","194.98","193.48","195.58","192.64","8.73M","0.62%"
"14/06/2024","193.78","191.45","194.86","191.42","6.87M","0.06%"
"13/06/2024","193.66","192.32","194.58","190.88","8.59M","1.11%"
"12/06/2024","191.53","196.00","196.72","191.31","12.75M","-1.46%"
"11/06/2024","194.36","197.91","197.94","193.60","9.24M","-2.63%"
"10/06/2024","199.61","199.24","200.84","198.44","6.07M","-0.17%"
"07/06/2024","199.95","197.43","200.92","197.01","6.96M","1.54%"
"06/06/2024","196.91","197.26","198.02","195.33","7.64M","-0.18%"
"05/06/2024","197.26","199.76","199.82","196.92","8.35M","-0.95%"
"04/06/2024","199.16","200.16","201.98","198.28","6.85M","-1.32%"
"03/06/2024","201.82","202.31","202.42","199.19","6.44M","-0.40%"
"31/05/2024","202.63","199.30","203.30","198.35","14.42M","1.66%"
"30/05/2024","199.33","198.56","199.85","198.40","6.83M","0.62%"
"29/05/2024","198.11","198.00","198.99","196.89","6.12M","-0.70%"
"28/05/2024","199.50","199.86","200.41","198.66","6.91M","-0.60%"
"24/05/2024","200.71","197.75","200.76","197.56","7.36M","1.92%"
"23/05/2024","196.92","197.81","198.30","196.07","8.07M","-0.70%"
"22/05/2024","198.31","199.00","200.93","197.69","9.43M","-0.61%"
"21/05/2024","199.52","197.00","199.90","196.60","14.42M","2.01%"
"20/05/2024","195.58","204.39","205.88","195.40","17.37M","-4.50%"
"17/05/2024","204.79","203.81","205.05","202.81","9.26M","1.15%"
"16/05/2024","202.47","202.22","204.48","201.99","8.50M","0.18%"
"15/05/2024","202.11","202.01","202.69","199.77","8.37M","0.30%"
"14/05/2024","201.51","199.00","201.58","198.16","8.60M","1.40%"
"13/05/2024","198.73","198.80","199.85","198.04","7.05M","-0.02%"
"10/05/2024","198.77","198.54","199.34","198.27","7.53M","0.64%"
"09/05/2024","197.50","195.17","197.59","195.10","7.98M","0.95%"
"08/05/2024","195.65","191.00","196.65","191.00","9.23M","2.03%"
"07/05/2024","191.75","191.70","192.93","191.65","7.69M","-0.13%"
"06/05/2024","192.00","191.73","192.20","189.82","7.91M","0.78%"
"03/05/2024","190.51","192.00","192.53","188.46","8.92M","-0.60%"
"02/05/2024","191.66","193.07","193.50","189.52","6.50M","-0.10%"
"01/05/2024","191.86","192.27","194.46","190.79","7.45M","0.06%"
"30/04/2024","191.74","192.81","194.99","191.64","8.15M","-0.80%"
"29/04/2024","193.28","193.48","194.26","192.43","5.41M","-0.11%"
"26/04/2024","193.49","193.57","194.87","193.06","6.41M","0.06%"
"25/04/2024","193.37","192.25","193.93","191.18","9.80M","0.15%"
"24/04/2024","193.08","190.53","193.23","190.17","6.96M","0.49%"
"23/04/2024","192.14","191.13","192.23","190.52","9.14M","1.44%"
"22/04/2024","189.41","185.99","190.13","185.98","11.53M","1.94%"
"19/04/2024","185.80","182.40","185.88","181.41","13.40M","2.51%"
"18/04/2024","181.25","181.10","183.36","179.97","9.56M","0.65%"
"17/04/2024","180.08","181.37","182.42","179.20","9.02M","-0.40%"
"16/04/2024","180.80","182.90","183.16","179.65","16.45M","-1.14%"
"15/04/2024","182.89","184.50","187.46","182.20","14.77M","0.05%"
"12/04/2024","182.79","188.32","188.93","182.54","31.53M","-6.47%"
"11/04/2024","195.43","196.00","196.57","193.24","10.14M","-0.02%"
"10/04/2024","195.47","195.55","197.07","194.18","7.68M","-0.85%"
"09/04/2024","197.15","198.07","198.88","194.91","7.36M","-0.67%"
"08/04/2024","198.48","197.62","198.98","197.62","8.00M","0.52%"
"05/04/2024","197.45","196.16","198.12","195.11","6.53M","0.92%"
"04/04/2024","195.65","199.15","199.68","195.55","9.24M","-1.34%"
"03/04/2024","198.30","199.04","199.56","197.70","9.35M","-0.28%"
"02/04/2024","198.86","198.39","199.78","198.08","7.01M","-0.04%"
"01/04/2024","198.94","199.99","200.94","198.57","7.31M","-0.68%"
"28/03/2024","200.30","199.49","200.72","198.54","8.63M","0.39%"
"27/03/2024","199.52","196.50","199.60","196.38","8.73M","1.94%"
"26/03/2024","195.73","194.59","196.66","194.06","5.96M","0.47%"
"25/03/2024","194.82","196.60","196.94","194.36","8.62M","-0.92%"
"22/03/2024","196.62","199.01","200.48","196.54","8.11M","-1.23%"
"21/03/2024","199.06","196.52","199.43","196.33","11.20M","1.39%"
"20/03/2024","196.33","194.19","196.56","193.61","9.37M","1.31%"
"19/03/2024","193.79","192.71","193.93","192.38","8.48M","0.59%"
"18/03/2024","192.66","190.63","192.70","189.89","9.01M","1.24%"
"15/03/2024","190.30","186.48","190.94","186.48","17.21M","1.24%"
"14/03/2024","187.97","191.03","191.63","187.10","10.31M","-1.78%"
"13/03/2024","191.38","190.36","191.73","189.84","7.80M","0.81%"
"12/03/2024","189.84","188.95","190.16","187.91","5.71M","0.82%"
"11/03/2024","188.29","187.28","188.44","186.22","5.76M","0.04%"
"08/03/2024","188.22","188.44","190.46","187.92","6.17M","0.19%"
"07/03/2024","187.87","189.91","190.50","186.63","7.62M","-0.88%"
"06/03/2024","189.53","189.25","190.07","187.63","7.57M","0.52%"
"05/03/2024","188.55","186.36","189.30","186.36","6.62M","1.00%"
"04/03/2024","186.68","184.71","187.59","184.27","7.06M","0.75%"
"01/03/2024","185.29","185.70","186.44","185.10","6.31M","-0.41%"
"29/02/2024","186.06","185.66","186.43","183.85","9.64M","0.91%"
"28/02/2024","184.38","183.43","185.20","182.96","6.13M","0.51%"
"27/02/2024","183.45","183.31","183.54","182.24","5.72M","0.05%"
"26/02/2024","183.36","183.75","184.46","182.48","7.15M","-0.34%"
"23/02/2024","183.99","183.81","185.20","183.19","7.11M","0.50%"
"22/02/2024","183.07","181.82","183.42","181.24","9.30M","1.20%"
"21/02/2024","180.90","179.95","180.99","178.52","7.03M","0.65%"
"20/02/2024","179.73","179.19","180.46","178.40","9.67M","0.39%"
"16/02/2024","179.03","179.61","179.98","178.16","8.15M","-0.47%"
"15/02/2024","179.87","176.15","180.21","176.15","8.72M","2.18%"
"14/02/2024","176.03","175.07","176.10","174.42","7.06M","1.02%"
"13/02/2024","174.26","175.32","176.23","172.62","8.40M","-0.87%"
"12/02/2024","175.79","174.78","176.81","173.70","8.54M","0.45%"
"09/02/2024","175.01","175.00","175.10","173.67","6.30M","0.12%"
"08/02/2024","174.80","175.00","175.31","173.57","6.06M","-0.36%"
"07/02/2024","175.43","175.69","175.87","173.96","7.23M","0.19%"
"06/02/2024","175.10","174.61","175.87","173.76","6.77M","0.34%"
"05/02/2024","174.50","173.86","175.09","172.92","7.82M","-0.13%"
"02/02/2024","174.73","173.30","175.82","173.26","8.61M","0.58%"
"01/02/2024","173.73","173.64","174.84","171.43","9.35M","-0.36%"
"31/01/2024","174.36","176.20","178.30","174.34","11.52M","-1.08%"
"30/01/2024","176.27","172.83","176.76","172.83","10.82M","2.05%"
"29/01/2024","172.73","172.24","172.84","171.30","6.97M","0.26%"
"26/01/2024","172.28","172.61","173.06","171.78","7.44M","-0.38%"
"25/01/2024","172.94","172.31","172.99","170.90","8.87M","1.43%"
"24/01/2024","170.50","169.36","171.01","168.86","9.97M","0.89%"
"23/01/2024","168.99","169.67","169.75","168.44","8.36M","-0.66%"
"22/01/2024","170.11","170.46","171.98","169.71","12.84M","-0.12%"
"19/01/2024","170.31","167.55","170.57","167.08","13.12M","1.73%"
"18/01/2024","167.42","167.12","167.53","165.24","9.38M","0.20%"
"17/01/2024","167.09","167.34","169.07","166.49","11.11M","-0.54%"
"16/01/2024","167.99","164.87","168.09","164.30","17.21M","-0.63%"
"12/01/2024","169.05","173.80","176.31","168.90","19.44M","-0.73%"
"11/01/2024","170.30","170.33","170.36","168.64","11.92M","-0.42%"
"10/01/2024","171.02","170.00","171.08","168.95","9.67M","0.21%"
"09/01/2024","170.66","171.62","171.79","170.10","9.92M","-0.79%"
"08/01/2024","172.02","172.02","172.36","169.49","11.23M","-0.15%"
"05/01/2024","172.27","171.47","173.38","171.47","10.07M","0.50%"
"04/01/2024","171.41","170.64","173.35","170.54","11.97M","0.05%"
"03/01/2024","171.33","171.86","172.04","170.37","9.85M","-0.44%"
"02/01/2024","172.08","169.09","172.17","168.91","9.98M","1.16%"
