"Date","Price","Open","High","Low","Vol.","Change %"
"10/12/2024","171.27","171.01","173.15","170.61","5.10M","-0.03%"
"09/12/2024","171.32","175.00","176.37","170.77","6.50M","-2.43%"
"06/12/2024","175.58","173.30","175.83","172.44","6.90M","1.54%"
"05/12/2024","172.91","180.33","180.76","172.71","7.55M","-5.33%"
"04/12/2024","182.65","180.50","182.90","178.00","3.71M","1.07%"
"03/12/2024","180.72","181.00","182.24","179.91","2.88M","0.16%"
"02/12/2024","180.44","180.80","181.64","179.42","2.82M","-0.94%"
"29/11/2024","182.16","181.45","182.97","181.13","2.05M","0.86%"
"27/11/2024","180.60","184.64","184.69","180.44","2.73M","-2.17%"
"26/11/2024","184.60","180.87","184.93","180.42","3.92M","2.44%"
"25/11/2024","180.21","182.24","183.70","179.55","9.74M","-0.52%"
"22/11/2024","181.15","179.30","181.74","178.78","3.41M","1.37%"
"21/11/2024","178.70","178.41","180.94","177.34","4.53M","0.40%"
"20/11/2024","177.98","178.10","178.54","176.00","3.23M","0.24%"
"19/11/2024","177.56","176.50","177.88","175.70","3.22M","0.02%"
"18/11/2024","177.52","177.00","178.57","175.13","2.84M","0.33%"
"15/11/2024","176.93","176.75","177.92","175.89","5.30M","-0.82%"
"14/11/2024","178.40","183.00","183.80","177.49","5.09M","-2.81%"
"13/11/2024","183.56","182.95","186.30","182.76","3.94M","0.50%"
"12/11/2024","182.64","185.07","185.70","180.59","3.16M","-1.04%"
"11/11/2024","184.56","186.63","187.47","183.70","3.37M","-0.14%"
"08/11/2024","184.81","179.65","186.42","179.45","4.68M","3.33%"
"07/11/2024","178.85","181.02","181.02","176.77","5.08M","-1.06%"
"06/11/2024","180.76","181.50","182.06","178.50","5.94M","3.14%"
"05/11/2024","175.26","172.36","175.47","171.77","3.61M","2.04%"
"04/11/2024","171.76","172.30","174.68","171.45","4.20M","0.03%"
"01/11/2024","171.70","172.76","175.27","171.59","3.98M","-0.05%"
"31/10/2024","171.78","172.00","173.62","170.43","5.18M","-1.64%"
"30/10/2024","174.64","172.98","176.53","172.51","3.69M","0.34%"
"29/10/2024","174.05","174.56","174.90","172.77","5.22M","-0.75%"
"28/10/2024","175.36","179.98","180.58","175.21","5.69M","-2.09%"
"25/10/2024","179.10","180.00","181.42","178.30","3.97M","-0.36%"
"24/10/2024","179.74","181.90","182.21","179.63","4.37M","-1.07%"
"23/10/2024","181.69","179.70","184.98","179.62","9.79M","2.85%"
"22/10/2024","176.66","184.50","185.00","175.75","15.64M","-9.05%"
"21/10/2024","194.23","192.91","194.39","192.02","4.73M","0.84%"
"18/10/2024","192.61","193.10","193.44","191.14","3.08M","-0.01%"
"17/10/2024","192.62","194.09","194.80","192.20","2.63M","0.23%"
"16/10/2024","192.18","190.50","192.22","189.92","2.91M","0.84%"
"15/10/2024","190.57","193.85","194.33","189.76","3.82M","-1.07%"
"14/10/2024","192.63","191.98","193.93","191.66","3.13M","0.77%"
"11/10/2024","191.16","189.41","191.76","189.06","2.98M","1.62%"
"10/10/2024","188.12","188.15","189.75","187.39","2.30M","-0.61%"
"09/10/2024","189.28","186.63","189.41","186.50","2.31M","0.97%"
"08/10/2024","187.47","187.62","189.88","186.56","3.63M","0.81%"
"07/10/2024","185.96","185.94","187.23","184.80","2.51M","-0.60%"
"04/10/2024","187.08","186.58","187.16","184.86","3.98M","1.73%"
"03/10/2024","183.89","186.50","186.71","183.70","4.00M","-1.37%"
"02/10/2024","186.44","185.57","188.20","184.73","2.88M","0.08%"
"01/10/2024","186.30","187.49","188.22","184.92","3.79M","-1.21%"
"30/09/2024","188.58","185.08","188.71","183.09","5.63M","1.73%"
"27/09/2024","185.38","184.17","186.19","183.13","4.45M","0.43%"
"26/09/2024","184.59","189.40","189.55","184.53","4.78M","-2.50%"
"25/09/2024","189.33","189.83","190.88","188.20","3.21M","-0.17%"
"24/09/2024","189.66","188.67","189.80","187.00","3.65M","0.52%"
"23/09/2024","188.67","187.81","189.78","187.40","3.97M","0.66%"
"20/09/2024","187.43","185.00","187.84","184.32","9.90M","0.68%"
"19/09/2024","186.16","187.65","187.99","184.28","5.02M","1.42%"
"18/09/2024","183.55","181.20","185.77","180.43","5.69M","1.79%"
"17/09/2024","180.33","181.51","182.43","178.99","5.94M","-0.61%"
"16/09/2024","181.44","178.72","181.52","176.26","6.84M","1.77%"
"13/09/2024","178.28","169.41","179.32","169.21","7.36M","5.06%"
