"Date","Price","Open","High","Low","Vol.","Change %"
"26/09/2024","178.09","178.50","180.25","175.00","24.34M","1.46%"
"25/09/2024","175.52","174.65","177.14","173.76","16.61M","0.39%"
"24/09/2024","174.84","172.81","175.99","171.68","34.22M","1.10%"
"23/09/2024","172.94","172.00","173.32","168.35","29.43M","1.08%"
"20/09/2024","171.10","167.18","172.02","166.47","91.76M","2.20%"
"19/09/2024","167.42","167.68","170.00","165.66","32.45M","3.56%"
"18/09/2024","161.67","163.77","167.47","161.36","26.56M","-0.49%"
"17/09/2024","162.47","165.49","166.02","160.70","19.84M","-0.95%"
"16/09/2024","164.02","165.19","165.50","160.41","26.13M","-2.19%"
"13/09/2024","167.69","166.74","168.08","164.04","29.85M","1.90%"
"12/09/2024","164.56","158.10","166.32","156.83","43.58M","3.97%"
"11/09/2024","158.27","148.39","158.87","145.04","39.70M","6.79%"
"10/09/2024","148.21","141.22","149.86","141.04","36.07M","5.25%"
"09/09/2024","140.82","139.11","141.59","134.90","39.52M","2.79%"
"06/09/2024","136.99","143.25","143.50","136.60","76.63M","-10.36%"
"05/09/2024","152.82","150.57","156.36","150.11","31.55M","-0.84%"
"04/09/2024","154.12","150.30","157.79","149.15","20.32M","0.87%"
"03/09/2024","152.79","160.38","160.74","151.38","37.18M","-6.16%"
"30/08/2024","162.82","161.12","163.24","158.71","25.16M","3.75%"
"29/08/2024","156.93","158.49","163.20","155.41","23.52M","-0.79%"
"28/08/2024","158.18","160.08","162.28","156.25","18.06M","-1.99%"
"27/08/2024","161.39","157.60","162.03","155.83","16.68M","1.11%"
"26/08/2024","159.62","164.96","165.70","158.66","18.52M","-4.05%"
"23/08/2024","166.36","165.02","168.28","163.46","18.85M","2.48%"
"22/08/2024","162.34","170.84","172.42","161.49","30.04M","-2.08%"
"21/08/2024","165.78","165.12","166.47","162.88","16.10M","-0.10%"
"20/08/2024","165.95","167.05","168.37","164.15","19.42M","-1.05%"
"19/08/2024","167.71","164.86","167.83","160.42","20.44M","1.20%"
"16/08/2024","165.72","164.47","166.09","162.68","19.30M","-0.25%"
"15/08/2024","166.13","161.20","166.67","160.34","27.94M","5.35%"
"14/08/2024","157.69","158.02","160.25","154.72","20.18M","0.98%"
"13/08/2024","156.16","151.55","156.38","149.81","22.05M","5.07%"
"12/08/2024","148.62","148.08","151.13","146.37","17.78M","0.24%"
"09/08/2024","148.26","144.20","149.55","144.11","18.44M","1.73%"
"08/08/2024","145.74","141.20","146.27","138.40","27.58M","6.95%"
"07/08/2024","136.27","148.25","150.10","135.83","29.75M","-5.32%"
"06/08/2024","143.92","141.73","148.91","140.25","24.75M","1.30%"
"05/08/2024","142.08","129.61","145.42","128.50","41.31M","-1.21%"
"02/08/2024","143.82","141.93","145.35","139.60","33.75M","-2.18%"
"01/08/2024","147.02","157.50","158.91","146.17","40.32M","-8.50%"
"31/07/2024","160.68","151.47","161.33","151.00","45.83M","11.96%"
"30/07/2024","143.52","153.28","153.47","143.35","31.10M","-4.46%"
"29/07/2024","150.22","152.02","155.00","149.15","16.63M","-0.93%"
"26/07/2024","151.63","153.50","153.58","149.92","20.84M","1.59%"
"25/07/2024","149.26","151.26","153.55","145.52","30.87M","-1.37%"
"24/07/2024","151.34","160.35","161.40","151.10","37.16M","-7.59%"
"23/07/2024","163.77","160.40","165.33","159.90","21.57M","1.68%"
"22/07/2024","161.06","160.23","162.99","157.90","28.81M","2.36%"
"19/07/2024","157.35","161.84","163.95","157.12","26.31M","-1.97%"
"18/07/2024","160.52","158.89","161.51","153.90","37.97M","2.91%"
"17/07/2024","155.98","162.31","162.84","155.61","43.34M","-7.91%"
"16/07/2024","169.38","172.40","172.81","166.40","22.24M","-1.19%"
"15/07/2024","171.42","170.00","173.51","169.26","23.00M","0.80%"
"12/07/2024","170.07","171.10","172.59","169.13","30.45M","-0.31%"
"11/07/2024","170.60","176.47","176.49","166.85","51.11M","-2.22%"
"10/07/2024","174.47","174.60","176.65","172.64","41.07M","0.66%"
"09/07/2024","173.33","175.66","177.10","170.56","37.92M","-0.72%"
"08/07/2024","174.59","170.50","175.69","170.50","36.40M","2.50%"
"05/07/2024","170.33","175.56","176.55","169.60","45.24M","-1.50%"
"03/07/2024","172.92","167.00","172.92","166.45","39.95M","4.33%"
"02/07/2024","165.75","164.08","165.92","162.20","32.54M","1.02%"
"01/07/2024","164.08","160.82","164.88","159.35","47.62M","2.20%"
"28/06/2024","160.55","159.59","163.92","158.60","69.38M","1.19%"
"27/06/2024","158.67","159.20","160.56","157.10","31.65M","-0.34%"
"26/06/2024","159.20","159.76","161.82","157.36","46.48M","0.71%"
"25/06/2024","158.08","160.01","160.60","156.40","56.81M","-0.72%"
"24/06/2024","159.22","164.21","166.10","159.07","58.58M","-4.00%"
"21/06/2024","165.86","169.57","171.40","165.14","100.00M","-4.38%"
"20/06/2024","173.46","180.35","180.48","172.22","68.16M","-3.77%"
"18/06/2024","180.25","183.96","185.16","178.50","86.80M","-1.44%"
"17/06/2024","182.89","180.00","184.30","177.86","87.53M","5.41%"
"14/06/2024","173.50","168.69","174.72","168.21","69.70M","3.34%"
"13/06/2024","167.90","171.00","173.59","165.25","89.06M","12.27%"
"12/06/2024","149.55","150.00","150.58","147.64","56.70M","2.36%"
"11/06/2024","146.10","143.82","146.50","141.62","34.84M","1.43%"
"10/06/2024","144.05","140.98","144.90","140.91","31.08M","2.41%"
"07/06/2024","140.66","140.78","142.50","139.70","17.86M","0.38%"
"06/06/2024","140.13","142.19","142.27","138.82","20.17M","-0.84%"
"05/06/2024","141.31","134.60","141.43","134.05","32.95M","6.18%"
"04/06/2024","133.08","132.04","133.20","130.70","23.05M","0.67%"
"03/06/2024","132.19","135.27","135.30","130.25","26.28M","-0.50%"
"31/05/2024","132.85","136.14","136.26","130.73","73.09M","-2.60%"
"30/05/2024","136.41","137.90","138.28","135.56","21.73M","-1.91%"
"29/05/2024","139.07","139.91","139.91","138.30","26.86M","-1.54%"
"28/05/2024","141.24","141.00","141.72","139.25","22.92M","0.33%"
"24/05/2024","140.78","139.98","141.36","139.20","16.73M","1.04%"
"23/05/2024","139.33","142.84","142.90","137.80","31.04M","0.08%"
"22/05/2024","139.22","139.60","140.50","138.42","21.00M","-0.50%"
"21/05/2024","139.92","139.87","140.94","139.35","15.33M","-1.05%"
"20/05/2024","141.40","139.60","141.69","139.32","27.17M","1.34%"
"17/05/2024","139.53","141.24","141.95","138.18","18.17M","-1.19%"
